S No.,Title,Decisions,Words
1,SpiceJet to issue 6.4 crore warrants to promoters,"{""SpiceJet"": ""neutral""}",8
2,MMTC Q2 net loss at Rs 10.4 crore,"{""MMTC"": ""neutral""}",8
3,"Mid-cap funds can deliver more, stay put: Experts","{""Mid-cap funds"": ""positive""}",8
4,Mid caps now turn into market darlings,"{""Mid caps"": ""positive""}",7
5,"Market seeing patience, if not conviction: Prakash Diwan","{""Market"": ""neutral""}",8
6,Infosys: Will the strong volume growth sustain?,"{""Infosys"": ""neutral""}",7
7,Hudco raises Rs 279 cr via tax-free bonds,"{""Hudco"": ""positive""}",8
8,HOEC could retest 30-35 levels: Ashwani Gujral,"{""HOEC"": ""neutral""}",7
9,Gold shines on seasonal demand; Silver dull,"{""Gold"": ""positive"", ""Silver"": ""negative""}",7
10,Genpact appoints Edward J Fitzpatrick as CFO,"{""Genpact"": ""neutral""}",7
11,"EXL beats profit estimates, cuts sales outlook","{""EXL"": ""positive""}",7
12,Wait and watch on Bharti Airtel: Vinay Khattar,"{""Bharti Airtel"": ""neutral""}",8
13,"Would stick to banking: Girish Pai, Centrum Broking","{""banking"": ""positive"", ""Centrum Broking"": ""neutral""}",8
14,MSCI adds Aurobindo Pharma to India index,"{""Aurobindo Pharma"": ""positive"", ""MSCI"": ""neutral"", ""India index"": ""neutral""}",7
15,Ashok Leyland raises Rs 667 crore through QIP,"{""Ashok Leyland"": ""positive""}",8
16,"At Wipro, growth remains a mirage","{""Wipro"": ""negative""}",6
17,Why Chinese stocks leave US investors vulnerable,"{""US"": ""negative"", ""Chinese stocks"": ""neutral""}",7
18,US stocks finish mixed amid more tech selling,"{""tech"": ""negative"", ""US stocks"": ""neutral""}",8
19,Opec reduces estimate on oil demand growth,"{""oil"": ""negative"", ""Opec"": ""neutral""}",7
20,Oil prices mixed ahead of US supply report,"{""Oil"": ""neutral""}",8
21,Makemytrip expands share sale plan,"{""Makemytrip"": ""neutral""}",5
22,Gur closes quiet on some support,"{""Gur"": ""neutral""}",6
23,Gur closes steady on low demand,"{""Gur"": ""neutral""}",6
24,Gur closes steady on thin trade,"{""Gur"": ""neutral""}",6
25,Gur remains flat in tight movements,"{""Gur"": ""neutral""}",6
26,Popularising G-Secs among retail investors,"{""G-Secs"": ""neutral""}",5
27,Gold trades nearly flat on dull demand,"{""Gold"": ""neutral""}",7
28,ZEE announces closure of share buyback programme,"{""ZEE"": ""neutral""}",7
29,ZEE Q2 net at Rs 216.3 cr,"{""ZEE"": ""neutral""}",7
30,China to start yuan trading on Tuesday,"{""yuan"": ""neutral""}",7
31,BSE inks strategic partnership with YES Bank,"{""YES Bank"": ""neutral"", ""BSE"": ""neutral""}",7
32,Yes Bank launches Sovereign Gold Bond,"{""Yes Bank"": ""neutral"", ""Gold Bond"": ""neutral""}",6
33,"Yen firms in Asia on Iraq, Ukraine jitters","{""Yen"": ""positive""}",8
34,Billionaire's stake shakes Woolworth's buyout of David Jones,"{""Woolworth"": ""neutral"", ""David Jones"": ""neutral""}",7
35,Wonderla Holidays IPO subscribed 42% on Day 1,"{""Wonderla Holidays"": ""neutral""}",8
36,Wonderla Holidays IPO subscribed 98% on second day,"{""Wonderla Holidays"": ""neutral""}",8
37,WNS appoints Ronald Gillette as Chief Operating Officer,"{""WNS"": ""neutral""}",8
38,Strong deals crucial for Wipro's growth push,"{""Wipro"": ""neutral""}",7
39,Ten key takeaways from Wipro Q1 results,"{""Wipro"": ""neutral""}",7
40,Whirlpool may head to around 450-475: Devang Visaria,"{""Whirlpool"": ""neutral""}",8
41,Western Coalfields CMD D C Garg passes away,"{""Western Coalfields"": ""neutral""}",8
42,VRL Logistics IPO grey market premium at 38%,"{""VRL Logistics"": ""neutral""}",8
43,"IPO after tax row is settled, says Vodafone","{""Vodafone"": ""neutral""}",8
44,Vodafone gets ready for IPO of Indian arm,"{""Vodafone"": ""neutral""}",8
45,VMware appoints Arun Parameswaran as India MD,"{""VMware"": ""neutral""}",7
46,Videocon D2H likely to bring IPO this fiscal,"{""Videocon D2H"": ""neutral""}",8
47,Videocon appoints Sanjeev Bakshi as COO,"{""Videocon"": ""neutral""}",6
48,Viber ups marketing efforts with CMO appointment,"{""Viber"": ""neutral""}",7
49,Verizon appoints Christopher Formant to head enterprise business,"{""Verizon"": ""neutral""}",8
50,"Amidst commodity boom, vanilla remains plain vanilla","{""vanilla"": ""neutral""}",7
51,Universal Commodity Exchange goes live,"{""Universal Commodity Exchange"": ""neutral""}",5
52,United Spirits appoints Anand Kripalu as CEO,"{""United Spirits"": ""neutral""}",7
53,Promoters raise stake to 46.72 pc in Unitech,"{""Unitech"": ""neutral""}",8
54,Uninor appoints Grameenphone CTO as new India COO,"{""Uninor"": ""neutral""}",8
55,TV Today Q2 profit at Rs 12.83 crore,"{""TV Today"": ""neutral""}",8
56,Tokyo stocks flat by the break,"{""Tokyo stocks"": ""neutral""}",6
57,Adi Rajaram appointed TNIIC chairman,"{""TNIIC"": ""neutral""}",5
58,4200 is key level for Titan: Ashwani Gujral,"{""Titan"": ""neutral""}",8
59,Kapil Kapoor is global COO of Timex Group,"{""Timex Group"": ""neutral""}",8
60,TIL Limited can open-up for Rs 900-1200: Ventura,"{""TIL Limited"": ""neutral""}",8
61,Thyrocare Technologies Limited files draft IPO papers,"{""Thyrocare Technologies Limited"": ""neutral""}",7
62,Thejo Engineering announces 1:1 maiden bonus,"{""Thejo Engineering"": ""neutral""}",6
63,Neutral on telecom: Ramanathan K,"{""telecom"": ""neutral""}",5
64,Technofab Engg fix IPO rate at Rs 230-240,"{""Technofab Engg"": ""neutral""}",8
65,Tata Sons names Gopichand Katragadda chief technology officer,"{""Tata Sons"": ""neutral""}",8
66,Tata Motors appoints Gajendra Chandel as CHRO,"{""Tata Motors"": ""neutral""}",7
67,Kalyanasundaram resigns as Independent Director of Tata Communications,"{""Tata Communications"": ""neutral""}",8
68,Talwalkars can retest 133-140 levels: Ashwani Gujral,"{""Talwalkars"": ""neutral""}",7
69,Suzlon board approves cashless restructuring of FCCBs,"{""Suzlon"": ""neutral""}",7
70,Sunteck Realty: Building a solid foundation,"{""Sunteck Realty"": ""neutral""}",6
71,Harsha Viji is deputy MD of Sundaram MF,"{""Sundaram MF"": ""neutral""}",8
72,Sugar closes steady on sporadic buying,"{""Sugar"": ""neutral""}",6
73,Sugar ends steady in thin trade,"{""Sugar"": ""neutral""}",6
74,Sugar settles steady on little doing,"{""Sugar"": ""neutral""}",6
75,Sugar ends quiet amid sufficient stock positions,"{""Sugar"": ""neutral""}",7
76,India produces 14.3 million tonne sugar till mid-February,"{""sugar"": ""neutral""}",8
77,Sterling steadies after Scottish referendum debate wobble,"{""Sterling"": ""neutral""}",7
78,UK data gives battered sterling some respite,"{""sterling"": ""neutral""}",7
79,Red-hot sterling cools a touch after PMI numbers,"{""sterling"": ""neutral""}",8
80,Steel prices end steady in thin trade,"{""Steel"": ""neutral""}",7
81,Tight movement in steel prices in thin trade,"{""steel"": ""neutral""}",8
82,Spices hold steady in mute trade,"{""Spices"": ""neutral""}",6
83,SpiceJet makes top-level changes,"{""SpiceJet"": ""neutral""}",4
84,Spicejet seeks shareholders' nod to hike promoters holding,"{""Spicejet"": ""neutral""}",8
85,Several small caps trading at eye-popping valuations,"{""small caps"": ""neutral""}",7
86,Sistema on way to market,"{""Sistema"": ""neutral""}",5
87,Shoppers Stop elevates Salil Nair to CEO,"{""Shoppers Stop"": ""neutral""}",7
88,Neutral on Shiva Cement: Seshadri Bharathan,"{""Shiva Cement"": ""neutral""}",6
89,How will Shell-BG deal impact global energy market,"{""Shell-BG"": ""neutral"", ""energy market"": ""neutral""}",8
90,SGX's India office to woo fund raising corporations,"{""SGX"": ""neutral""}",8
91,Prasun Kumar Mukherjee quits Sesa Sterlite,"{""Sesa Sterlite"": ""neutral""}",6
92,Which Sensex stocks should you bet on?,"{""Sensex stocks"": ""neutral""}",7
93,Sensex rangebound; top 20 intraday trading ideas,"{""Sensex"": ""neutral""}",7
94,SEC director with big stock holdings stirs debate,"{""SEC"": ""neutral""}",8
95,Sebi partially lifts curbs on Shantivijay Jewels,"{""Sebi"": ""neutral"", ""Shantivijay Jewels"": ""neutral""}",7
96,Sebi seeks clarification on RINL IPO,"{""Sebi"": ""neutral"", ""RINL"": ""neutral""}",6
97,"Sebi attaches accounts of former Ranbaxy director, wife","{""Sebi"": ""neutral"", ""Ranbaxy"": ""neutral""}",8
98,Maruti-Suzuki deal: Institutional investors approach Sebi,"{""Sebi"": ""neutral"", ""Maruti-Suzuki"": ""neutral""}",6
99,Sebi notifies new ESOP regulations,"{""Sebi"": ""neutral""}",5
100,Sebi revamps securitisation trustee norms,"{""Sebi"": ""neutral""}",5
101,Centralised online system for investor grievances:SEBI,"{""SEBI"": ""neutral""}",6
102,Sebi cautions against illicit high-return schemes,"{""Sebi"": ""neutral""}",6
103,Sebi proposes restrictions on 'wilful defaulters',"{""Sebi"": ""neutral""}",6
104,"New listing, de-listing regulations next month: Sebi","{""Sebi"": ""neutral""}",7
105,Sebi announces new set of ESOP regulations,"{""Sebi"": ""neutral""}",7
106,Sebi considers proposal on cross-currency futures pairs,"{""Sebi"": ""neutral""}",7
107,Sebi plans new norms for municipal bonds,"{""Sebi"": ""neutral""}",7
108,"Sebi revamps committee on disclosures, accounting standards","{""Sebi"": ""neutral""}",7
109,Sebis reading of control issue confounds experts,"{""Sebi"": ""neutral""}",7
110,20 companies approach Sebi with public offer proposals,"{""Sebi"": ""neutral""}",8
111,Cabinet to consider proposal for Sebi ordinance tomorrow,"{""Sebi"": ""neutral""}",8
112,"Insider trading on SEBI Chief, UK Sinha's radar","{""SEBI"": ""neutral""}",8
113,Minimum shareholding norm not for non-controlling entity: Sebi,"{""Sebi"": ""neutral""}",8
114,President Pranab Mukherjee clears re-promulgation of Sebi ordinance,"{""Sebi"": ""neutral""}",8
115,Sebi asks mutual funds to adopt high-deposit districts,"{""Sebi"": ""neutral""}",8
116,Sebi calls for systemic safeguards in Algo trades,"{""Sebi"": ""neutral""}",8
117,Sebi directs banks to defreeze accounts of Somanis,"{""Sebi"": ""neutral""}",8
118,Sebi grants new status to three clearing corporations,"{""Sebi"": ""neutral""}",8
119,Sebi initiates proceeding against entities in ponzi schemes,"{""Sebi"": ""neutral""}",8
120,Sebi may seek relief for commodity exchange warehouses,"{""Sebi"": ""neutral""}",8
121,Sebi mulls prudential governance norms for stock brokers,"{""Sebi"": ""neutral""}",8
122,Sebi orders defreezing of accounts of five entities,"{""Sebi"": ""neutral""}",8
123,Sebi plans annual information memorandum for listed companies,"{""Sebi"": ""neutral""}",8
124,Sebi proposes stricter rules for securitisation deal trustees,"{""Sebi"": ""neutral""}",8
125,Sebi to conitnue with more than 300 proceedings,"{""Sebi"": ""neutral""}",8
126,Sebi to study surveillance systems in overseas markets,"{""Sebi"": ""neutral""}",8
127,"Sebi, exchanges to tighten grip on speculative stocks","{""Sebi"": ""neutral""}",8
128,Sebi's public offer norms bat for retail investors,"{""Sebi"": ""neutral""}",8
129,Sebi's toll-free service for investors open whole week,"{""Sebi"": ""neutral""}",8
130,Single Demat A/c for all financial investments: SEBI,"{""SEBI"": ""neutral""}",8
131,SCI ex-chairman S Hajara joins Doehle Danautic India,"{""SCI"": ""neutral"", ""Doehle Danautic India"": ""neutral""}",8
132,2270-2350 is the range for SBI: Sandeep Wagle,"{""SBI"": ""neutral""}",8
133,Cover up all positions for SBI: Mitesh Thacker,"{""SBI"": ""neutral""}",8
134,"Saudi market opens, may affect global fund flows","{""Saudi market"": ""neutral""}",8
135,Sanghvi Forging and Engineering Ltd IPO opens tomorrow,"{""Sanghvi Forging and Engineering Ltd"": ""neutral""}",8
136,Samsung Everland IPO seen spurring Samsung Group restructure,"{""Samsung Everland"": ""neutral""}",8
137,Samsung Electronic India enterprise business head quits,"{""Samsung Electronic India"": ""neutral""}",7
138,Samsonite International appoints Ramesh Tainwala as global COO,"{""Samsonite International"": ""neutral""}",8
139,Soiles Bhattacharya takes interim charge of SAIL,"{""SAIL"": ""neutral""}",7
140,"SAIL sets rs. 7,000-crore FPO process in motion","{""SAIL"": ""neutral""}",8
141,Expert's take: Rupee-dollar pair to test 45.30-45.50 levels,"{""Rupee"": ""neutral"", ""dollar"": ""neutral""}",8
142,Budget 2014 mustn't sell rupee short,"{""rupee"": ""neutral""}",6
143,Cabinet decides on rupee sign today,"{""rupee"": ""neutral""}",6
144,Rupee little changed in intraday trade,"{""Rupee"": ""neutral""}",6
145,Rupee ends little changed; fund flows in focus,"{""Rupee"": ""neutral""}",8
146,Rupee swings hand arbitrage advantage to day traders,"{""Rupee"": ""neutral""}",8
147,"Output not stretched, says Rubber Board","{""Rubber Board"": ""neutral""}",6
148,RP-Sanjiv Goenka Group to begin new CSR initiatives,"{""RP-Sanjiv Goenka Group"": ""neutral""}",8
149,Ravi Venkatesan joins Rockefeller Foundation Board,"{""Rockefeller Foundation Board"": ""neutral""}",6
150,AGM can open new chapter for RIL shareholders,"{""RIL"": ""neutral""}",8
151,Should you opt for richly valued stocks?,"{""richly valued stocks"": ""neutral""}",7
152,Rs 15.26 crore dividend cheque from REPCO Bank,"{""REPCO Bank"": ""neutral""}",8
153,Wilmar deal: Not much for Renuka investors,"{""Renuka"": ""neutral"", ""Wilmar"": ""neutral""}",7
154,Religare Securities launches virtual stock trading platform,"{""Religare Securities"": ""neutral""}",7
155,Sandip Bansal joins Religare Capital Markets,"{""Religare Capital Markets"": ""neutral""}",6
156,Religare's top four picks for 2014,"{""Religare"": ""neutral""}",6
157,Reliance Industries announces 10-year US dollar bond,"{""Reliance Industries"": ""neutral""}",7
158,Reed Exhibitions looks to expand in India,"{""Reed Exhibitions"": ""neutral""}",7
159,Reckitt Benckiser names Nitish Kapoor as India MD,"{""Reckitt Benckiser"": ""neutral""}",8
160,"Which is better, real estate or stocks?","{""real estate"": ""neutral"", ""stocks"": ""neutral""}",7
161,"RBI, bourses weigh dollar delivery in futures trade","{""RBI"": ""neutral"", ""bourses"": ""neutral""}",8
162,RBI Deputy Governor Anand Sinha retires,"{""RBI"": ""neutral""}",6
163,Cash rates stabilise after RBI's MSF auction,"{""RBI"": ""neutral""}",7
164,RBI moves to curb novel bond structure,"{""RBI"": ""neutral""}",7
165,What to expect from RBI policy tomorrow,"{""RBI"": ""neutral""}",7
166,RBI bets on 'shut period' to improve liquidity,"{""RBI"": ""neutral""}",8
167,RBI tightens provisioning norms for unhedged forex exposure,"{""RBI"": ""neutral""}",8
168,Raw material bull market fades as supply expands,"{""Raw material"": ""neutral""}",8
169,Ranbaxy for short term: Deepak Mohoni,"{""Ranbaxy"": ""neutral""}",6
170,Upside capped at 90 for Ramsarup: Siddth Capital,"{""Ramsarup"": ""neutral""}",8
171,Rallis India to launch branded pomegranates,"{""Rallis India"": ""neutral""}",6
172,Stay with quality stocks: Deven Choksey,"{""quality stocks"": ""neutral""}",6
