tweet_id	labels

1425769948832571397	[{'type': 'Person', 'start_index': 4, 'end_index': 6, 'value': 'Lord Sumption', 'sentiment': 'Neutral'}, {'type': 'Organization', 'start_index': 8, 'end_index': 11, 'value': 'UK Supreme Court', 'sentiment': 'Neutral'}, {'type': 'Person', 'start_index': 41, 'end_index': 42, 'value': 'Boris', 'sentiment': 'Negative'}, {'type': 'Location', 'start_index': 46, 'end_index': 48, 'value': 'the UK', 'sentiment': 'null'}]

1321691207504809984	[{'type': 'Person', 'start_index': 51, 'end_index': 52, 'value': 'Turner', 'sentiment': 'Negative'}]

1368193404224610305	[{'type': 'Organization', 'start_index': 23, 'end_index': 24, 'value': 'SII', 'sentiment': 'Positive'}, {'type': 'Organization', 'start_index': 30, 'end_index': 31, 'value': 'Foxconn', 'sentiment': 'Positive'}, {'type': 'Organization', 'start_index': 39, 'end_index': 40, 'value': 'BB', 'sentiment': 'Negative'}]

1425513946535104518	[{'type': 'Person', 'start_index': 0, 'end_index': 1, 'value': '@GermHunterMD', 'sentiment': 'Neutral'}, {'type': 'Person', 'start_index': 1, 'end_index': 2, 'value': '@Cleavon_MD', 'sentiment': 'Neutral'}]

1422233707239284736	[{'type': 'Vaccine-related', 'start_index': 22, 'end_index': 24, 'value': 'covid vaccination', 'sentiment': 'Neutral'}]

1326072433758048257	[{'type': 'Location', 'start_index': 5, 'end_index': 6, 'value': 'UK', 'sentiment': 'null'}, {'type': 'Vaccine-related', 'start_index': 9, 'end_index': 10, 'value': 'Pfizer', 'sentiment': 'Neutral'}, {'type': 'Organization', 'start_index': 23, 'end_index': 25, 'value': 'UK govt', 'sentiment': 'Negative'}]

1316763855108952064	[{'type': 'Disease', 'start_index': 7, 'end_index': 11, 'value': 'post - viral syndrome', 'sentiment': 'null'}, {'type': 'Disease', 'start_index': 31, 'end_index': 32, 'value': 'pneumonia', 'sentiment': 'null'}, {'type': 'Drug', 'start_index': 55, 'end_index': 56, 'value': 'quercetin', 'sentiment': 'Positive'}, {'type': 'Drug', 'start_index': 57, 'end_index': 61, 'value': 'vit C / D', 'sentiment': 'Positive'}, {'type': 'Drug', 'start_index': 62, 'end_index': 63, 'value': 'zinc', 'sentiment': 'Positive'}]

1272951862879301632	[{'type': 'Person', 'start_index': 3, 'end_index': 4, 'value': 'Jakob', 'sentiment': 'Neutral'}]

1314772157499674626	[{'type': 'Symptom', 'start_index': 55, 'end_index': 56, 'value': 'fever', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 60, 'end_index': 61, 'value': 'chills', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 63, 'end_index': 64, 'value': 'cough', 'sentiment': 'null'}]

1302445672474406912	[{'type': 'Location', 'start_index': 14, 'end_index': 17, 'value': 'the United States', 'sentiment': 'null'}, {'type': 'Disease', 'start_index': 20, 'end_index': 21, 'value': 'pneumonia', 'sentiment': 'null'}]

1363881645540007945	[]

1333233479576858624	[{'type': 'Person', 'start_index': 44, 'end_index': 46, 'value': 'Jeffree Star', 'sentiment': 'Positive'}]

1420289199345864709	[]

1425880491539017728	[{'type': 'Symptom', 'start_index': 37, 'end_index': 38, 'value': 'coughing', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 39, 'end_index': 40, 'value': 'sneezing', 'sentiment': 'null'}]

1417982750339047428	[{'type': 'Vaccine-related', 'start_index': 25, 'end_index': 27, 'value': 'COVID vaccine', 'sentiment': 'Neutral'}, {'type': 'Person', 'start_index': 30, 'end_index': 31, 'value': '@rorcarolinas', 'sentiment': 'Positive'}, {'type': 'Organization', 'start_index': 36, 'end_index': 37, 'value': '@DurhamHealthNC', 'sentiment': 'Positive'}]

1358460438737022977	[{'type': 'Symptom', 'start_index': 19, 'end_index': 20, 'value': 'cough', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 21, 'end_index': 22, 'value': 'sneeze', 'sentiment': 'null'}, {'type': 'Person', 'start_index': 24, 'end_index': 25, 'value': 'Biden', 'sentiment': 'Neutral'}]

1329747445933174785	[{'type': 'Organization', 'start_index': 1, 'end_index': 3, 'value': 'Disney India', 'sentiment': 'Negative'}, {'type': 'Person', 'start_index': 11, 'end_index': 13, 'value': 'Kankana Das', 'sentiment': 'Negative'}]

1290675615436333056	[{'type': 'Symptom', 'start_index': 5, 'end_index': 6, 'value': 'sick', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 7, 'end_index': 8, 'value': 'coughing', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 9, 'end_index': 10, 'value': 'sneezing', 'sentiment': 'null'}]

1391366668429840386	[{'type': 'Symptom', 'start_index': 6, 'end_index': 8, 'value': 'covid rash', 'sentiment': 'null'}]

1378833820376571914	[{'type': 'Symptom', 'start_index': 19, 'end_index': 22, 'value': 'Covid arm rash', 'sentiment': 'null'}]

1255911461865521153	[]

1367486919106568197	[{'type': 'Location', 'start_index': 4, 'end_index': 5, 'value': 'America', 'sentiment': 'null'}, {'type': 'Vaccine-related', 'start_index': 13, 'end_index': 15, 'value': 'covid19 vaccine', 'sentiment': 'Neutral'}, {'type': 'Disease', 'start_index': 17, 'end_index': 18, 'value': 'influenza', 'sentiment': 'null'}, {'type': 'Disease', 'start_index': 22, 'end_index': 24, 'value': 'yellow fever', 'sentiment': 'null'}, {'type': 'Disease', 'start_index': 27, 'end_index': 28, 'value': 'HIV', 'sentiment': 'null'}]

1388876431950696458	[{'type': 'Symptom', 'start_index': 5, 'end_index': 8, 'value': 'hard time breathing', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 27, 'end_index': 29, 'value': 'cannot breather', 'sentiment': 'null'}, {'type': 'Disease', 'start_index': 44, 'end_index': 45, 'value': 'asthma', 'sentiment': 'null'}]

1252907827703709698	[{'type': 'Person', 'start_index': 9, 'end_index': 10, 'value': 'IK', 'sentiment': 'Positive'}, {'type': 'Disease', 'start_index': 27, 'end_index': 28, 'value': 'cancer', 'sentiment': 'null'}, {'type': 'Person', 'start_index': 37, 'end_index': 38, 'value': 'IK', 'sentiment': 'Positive'}]

1288384527379963904	[{'type': 'Person', 'start_index': 4, 'end_index': 5, 'value': 'Pupurai', 'sentiment': 'Positive'}]

1379185570958745612	[{'type': 'Vaccine-related', 'start_index': 4, 'end_index': 6, 'value': 'flu shots', 'sentiment': 'Neutral'}, {'type': 'Disease', 'start_index': 10, 'end_index': 11, 'value': 'flu', 'sentiment': 'null'}, {'type': 'Disease', 'start_index': 36, 'end_index': 37, 'value': 'flu', 'sentiment': 'null'}]

1327281450476068866	[{'type': 'Person', 'start_index': 0, 'end_index': 1, 'value': '@Acosta', 'sentiment': 'Negative'}]

1390160453255323651	[{'type': 'Vaccine-related', 'start_index': 11, 'end_index': 13, 'value': 'covid vaccine', 'sentiment': 'Negative'}]

1242037890458234880	[{'type': 'Drug', 'start_index': 20, 'end_index': 21, 'value': 'paracetamol', 'sentiment': 'Neutral'}, {'type': 'Drug', 'start_index': 54, 'end_index': 55, 'value': 'paracetamol', 'sentiment': 'Neutral'}]

1386079265729417217	[]

1257772884979675136	[{'type': 'Symptom', 'start_index': 18, 'end_index': 19, 'value': 'nausea', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 22, 'end_index': 23, 'value': 'headache', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 24, 'end_index': 26, 'value': 'high temperature', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 30, 'end_index': 31, 'value': 'exhaustion', 'sentiment': 'null'}]

1302898296239927297	[{'type': 'Person', 'start_index': 19, 'end_index': 20, 'value': '@JeaneF1MSP', 'sentiment': 'Neutral'}, {'type': 'Vaccine-related', 'start_index': 37, 'end_index': 39, 'value': 'flu vaccine', 'sentiment': 'Neutral'}]

1333814719547928576	[{'type': 'Symptom', 'start_index': 5, 'end_index': 7, 'value': 'feels hot', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 8, 'end_index': 9, 'value': 'suffocating', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 11, 'end_index': 13, 'value': 'ears hurt', 'sentiment': 'null'}, {'type': 'Symptom', 'start_index': 18, 'end_index': 21, 'value': 'face is chapped', 'sentiment': 'null'}]

1322984162853330944	[{'type': 'Person', 'start_index': 18, 'end_index': 19, 'value': 'Gove', 'sentiment': 'Neutral'}]

1413581345721311234	[{'type': 'Symptom', 'start_index': 2, 'end_index': 3, 'value': 'coughing', 'sentiment': 'null'}]

1305705280324415489	[{'type': 'Person', 'start_index': 0, 'end_index': 1, 'value': 'Mulgrew', 'sentiment': 'Neutral'}, {'type': 'Organization', 'start_index': 5, 'end_index': 6, 'value': '@UFT', 'sentiment': 'Neutral'}, {'type': 'Organization', 'start_index': 11, 'end_index': 12, 'value': 'DOH', 'sentiment': 'Neutral'}, {'type': 'Organization', 'start_index': 41, 'end_index': 42, 'value': '@NYCMayor', 'sentiment': 'Negative'}, {'type': 'Organization', 'start_index': 42, 'end_index': 43, 'value': '@DOEChancellor', 'sentiment': 'Negative'}, {'type': 'Organization', 'start_index': 44, 'end_index': 45, 'value': 'DOH', 'sentiment': 'Negative'}]

1434367447159635969	[{'type': 'Drug', 'start_index': 44, 'end_index': 45, 'value': 'Ivermectin', 'sentiment': 'Negative'}]

1363181462003007491	[{'type': 'Person', 'start_index': 27, 'end_index': 28, 'value': 'Biden', 'sentiment': 'Neutral'}]

1440012228636422152	[{'type': 'Vaccine-related', 'start_index': 32, 'end_index': 34, 'value': 'Covid vaccine', 'sentiment': 'Neutral'}]

1423493989148233736	[{'type': 'Organization', 'start_index': 20, 'end_index': 21, 'value': 'QAA', 'sentiment': 'Negative'}]

1397850686939832320	[{'type': 'Organization', 'start_index': 6, 'end_index': 7, 'value': '@boypage', 'sentiment': 'Neutral'}]

1357170669532815363	[{'type': 'Person', 'start_index': 13, 'end_index': 14, 'value': 'Trump', 'sentiment': 'Neutral'}, {'type': 'Organization', 'start_index': 21, 'end_index': 22, 'value': 'Congress', 'sentiment': 'Neutral'}, {'type': 'Organization', 'start_index': 56, 'end_index': 57, 'value': 'GOP', 'sentiment': 'Negative'}]

1333113179279290368	[{'type': 'Person', 'start_index': 0, 'end_index': 1, 'value': 'eddy', 'sentiment': 'Negative'}, {'type': 'Symptom', 'start_index': 14, 'end_index': 15, 'value': 'coughing', 'sentiment': 'null'}]

1400603404687200259	[{'type': 'Person', 'start_index': 33, 'end_index': 34, 'value': 'trump', 'sentiment': 'Negative'}]

1361439314228498448	[{'type': 'Vaccine-related', 'start_index': 1, 'end_index': 3, 'value': 'Covid vaccine', 'sentiment': 'Neutral'}]

1389293428018753539	[{'type': 'Symptom', 'start_index': 25, 'end_index': 26, 'value': 'feverish', 'sentiment': 'null'}]

1423831870324674567	[{'type': 'Person', 'start_index': 0, 'end_index': 1, 'value': '@margeryto', 'sentiment': 'Negative'}, {'type': 'Vaccine-related', 'start_index': 24, 'end_index': 26, 'value': 'covid shot', 'sentiment': 'Neutral'}, {'type': 'Person', 'start_index': 51, 'end_index': 52, 'value': 'marg', 'sentiment': 'Negative'}]

1431890123243786246	[{'type': 'Vaccine-related', 'start_index': 5, 'end_index': 9, 'value': 'Covid - 19 Vaccine', 'sentiment': 'Negative'}, {'type': 'Drug', 'start_index': 50, 'end_index': 51, 'value': 'Ocrevus', 'sentiment': 'Positive'}]

